LOYALTY,Satis,VALUE,Reputa,Pricey,ATRUST,CTRUST,age,sex,educ,Loca,caseid
4.70833333333333,7,5.33333333333333,4,6,10,4.5,2,1,3,1,107
4.5,8,5.16666666666667,4.75,5,7,6.5,4,1,1,1,109
4.375,6.66666666666667,8,5,7.33333333333333,7,9,2,1,3,1,112
3.75,7.66666666666667,6.33333333333333,4,5,10,9,3,1,2,1,113
4.125,8,8,4,6.66666666666667,8,7,3,1,4,1,115
4.79166666666667,7.33333333333333,8,3.75,9,7.5,8,4,1,4,1,122
6.5,6.33333333333333,6.33333333333333,5.5,5.33333333333333,6.5,6.5,5,1,3,1,124
3.83333333333333,4.66666666666667,5.16666666666667,4,5.66666666666667,4.75,4.75,3,1,2,1,130
4.5,9,4.5,3.5,5,7,5.5,4,1,3,1,131
4,8.33333333333333,6.83333333333333,5.5,8,7,5.25,5,1,1,1,132
6.5,9.33333333333333,9.16666666666667,5,8.33333333333333,9,9,2,1,3,1,133
1.5,2.66666666666667,2.33333333333333,3.25,6.33333333333333,9,3,3,1,3,1,134
4.875,9.33333333333333,9.5,4.75,6.66666666666667,9.5,9.25,5,1,4,1,136
2.875,5.66666666666667,5,4.75,5,8,4,4,1,2,1,138
4.33333333333333,2.33333333333333,7.83333333333333,5.5,6,7.75,8.5,5,1,2,1,139
4.95833333333333,6.33333333333333,7.83333333333333,3.75,7.66666666666667,8.5,8.75,4,1,4,1,144
7,10,10,6.25,10,10,10,2,1,2,1,145
2.83333333333333,3,5.66666666666667,4,6,5.5,4.25,2,1,3,1,146
6.25,10,10,7,10,10,10,4,1,2,1,147
6.5,8.33333333333333,9.16666666666667,6,7,10,9,3,1,1,1,151
3.33333333333333,6,5,4.25,5.66666666666667,5.25,5.25,3,1,3,1,152
5.54166666666667,9.33333333333333,9,4.75,6.33333333333333,9.5,9,5,1,3,1,158
4.875,8.66666666666667,7.66666666666667,4,6.33333333333333,8.5,6,5,1,4,1,160
5.5,9,9,4.5,9,9.5,9,3,1,3,1,161
5.79166666666667,7.33333333333333,9,5.75,6.33333333333333,8.75,8.75,5,1,4,1,163
4,10,5.16666666666667,4.75,6,9.75,4.25,5,1,2,1,165
6.25,10,10,4,8,10,10,5,1,2,1,169
5.16666666666667,10,8.16666666666667,6,7,9,9,5,1,3,1,172
4.625,6.66666666666667,7.33333333333333,4.25,4.66666666666667,7,7,3,1,2,1,173
6.375,9,8,4.5,6,9,6,3,1,3,1,174
7,10,10,5.25,10,10,10,5,1,4,1,175
4.58333333333333,7.66666666666667,7.33333333333333,4.5,6.33333333333333,5.75,7,4,1,3,1,177
6,9,9,5.25,10,10,10,5,1,3,1,181
1.875,9,2,3.75,4,8,9,2,1,4,1,182
5.375,7,6.83333333333333,4.75,6,7.75,6.25,4,1,4,1,184
6,10,8.5,5,5,10,10,3,1,1,1,185
7,10,10,7,10,10,10,5,1,1,1,187
5.29166666666667,10,9.33333333333333,6.25,8,10,9.75,4,1,3,1,188
6.5,10,10,6.5,10,10,10,3,1,2,1,197
3.75,10,9.5,7,8,10,10,5,1,1,1,199
5.41666666666667,9,7.5,4,6,8.25,8,5,1,3,1,200
6.875,8,9,1.25,7,9,9.25,3,1,1,1,201
3.66666666666667,5.66666666666667,8.33333333333333,5,9,6.25,8.25,3,1,1,1,202
3.875,4.66666666666667,6.16666666666667,2.33333333333333,6,6.25,5,5,1,4,1,203
6.625,10,10,5.25,10,10,10,4,1,4,1,204
4.25,9,8,4.25,9,8,9,5,1,1,1,206
7,10,10,7,10,10,10,2,1,3,1,208
6.5,8.33333333333333,5,5.75,5.66666666666667,5,5.5,5,1,3,1,212
1,1,3.66666666666667,1.5,1,2.75,4.25,3,1,3,1,214
7,10,10,7,10,10,10,5,1,1,1,215
4.58333333333333,3,5,3,6,6.5,4.5,5,1,3,1,218
3.33333333333333,6,6.5,3.25,5.33333333333333,5.75,5.25,3,1,3,1,219
5.33333333333333,6,6.5,4.5,5,8,6,4,1,2,1,221
4.20833333333333,7.33333333333333,5.16666666666667,3.25,6,6.75,5.5,3,1,4,1,227
3.875,3,5.5,5.25,5,9,5,2,1,2,1,228
4.875,9,5,3.75,5,9,5,3,1,1,1,229
4.75,10,7.5,4.5,6,10,10,4,1,2,1,231
6.625,9,8,5.75,9,8,8,3,1,1,1,232
1.875,5,4,4,4.66666666666667,4,3.75,3,1,2,1,233
7,10,10,5.5,8,10,10,4,1,4,1,236
5.04166666666667,8,7.33333333333333,5.5,7,9,7.5,4,1,1,1,237
6.625,10,9.5,5,10,8,9,5,1,1,1,239
5.41666666666667,9,10,4,7.33333333333333,9,9.25,5,1,1,1,240
6.125,9.33333333333333,8.5,5.75,8,9,8.75,2,1,1,1,241
5.5,6,7,6,6,6,7,3,1,4,1,243
6.25,9.33333333333333,8.33333333333333,5.75,6.33333333333333,9,8,2,1,2,1,244
4.375,8,6.5,3.5,8,6.25,7.25,2,1,2,1,245
5.75,8,9,4.25,6.66666666666667,9,9,4,1,3,1,250
6.25,10,10,6,10,10,10,3,1,1,1,254
7,10,10,7,7,10,10,2,1,3,1,255
5.91666666666667,9,9,5.25,6,9,9,4,1,2,1,258
6.75,10,10,5.25,10,10,10,5,1,1,1,261
2.75,7.33333333333333,5,4,10,5,5,4,1,1,1,264
4.58333333333333,4.66666666666667,6.33333333333333,4.75,5,1,4,2,1,1,1,265
6.5,10,9,5.25,6.66666666666667,10,9,4,1,2,1,266
5.875,10,10,6,9,10,10,4,1,4,1,270
6.625,10,10,6.5,10,10,10,4,1,1,1,272
6,6.33333333333333,5.5,4.75,5.33333333333333,6.25,5,3,1,2,1,274
4.45833333333333,6.33333333333333,7.33333333333333,4.25,6.66666666666667,7.75,7.5,3,1,2,1,275
4,5,6.5,2,5,7,6.5,4,1,2,1,278
6.375,8.66666666666667,9.5,4.75,7.66666666666667,10,10,5,1,1,1,279
3.70833333333333,8,3,3,6.66666666666667,4.25,2.5,3,1,3,1,282
5.33333333333333,10,8.66666666666667,5.25,6.33333333333333,8.75,8.5,4,1,1,1,286
2.5,7.33333333333333,5.16666666666667,5.25,5,5.5,4.25,4,1,2,1,287
4.625,10,4.66666666666667,5.75,5,9.75,7,3,1,3,1,288
7,10,10,7,8,10,10,5,1,2,1,297
5.5,9,8.5,6,7.33333333333333,9,9,2,1,4,1,299
2.95833333333333,1,5.5,3.75,5,4.25,8,2,1,2,1,302
6.625,10,9.5,4.25,5.66666666666667,10,10,4,1,2,1,303
4.58333333333333,7,6.5,4,6,6,7,3,1,3,1,305
6.83333333333333,10,10,7,10,10,10,5,1,2,1,306
1.75,1,1,4.75,1,1,1,5,1,2,1,307
7,7.66666666666667,9,6,7.66666666666667,8.75,8.75,5,1,1,1,308
4.625,6.66666666666667,6.83333333333333,5.25,6.66666666666667,7.75,8.25,2,1,4,1,309
6.75,10,10,5.5,10,10,10,3,1,3,1,310
3.125,5.33333333333333,5,4.5,4.66666666666667,5,5.75,2,1,3,1,311
3.5,6,5.33333333333333,3.5,5,5.25,5.25,5,1,1,1,314
4.75,6.66666666666667,6.66666666666667,4.25,5.66666666666667,6,5.66666666666667,5,1,1,1,315
5.75,8,6.66666666666667,5,6.33333333333333,8,8,4,1,2,1,316
6.25,10,5,4,6,6,8,5,1,4,1,322
6.25,10,10,7,6.33333333333333,10,10,5,1,1,1,323
